Created on 06/20/2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High/2018,Low,Close,Volume From,Volume To
07/24/2017,LTCUSD,45.29,45.9,44.33,44.69,47412.32,2126648.23
07/23/2017,LTCUSD,46.7,47.1,43.74,45.29,30356.05,1374525.06
07/22/2017,LTCUSD,45.25,47.38,44.95,46.7,43310.1,1981183.58
07/21/2017,LTCUSD,44.75,48,43.78,45.25,73840.04,3394584.94
07/20/2017,LTCUSD,39.91,46,39.91,44.75,102758.28,4445739.49
07/19/2017,LTCUSD,43.47,44.12,38.02,39.91,87454.21,3690197.55
07/18/2017,LTCUSD,42.25,45,40.69,43.47,106352.56,4608518.85
07/17/2017,LTCUSD,40.53,43.3,39.19,42.25,99453.03,4108124.85
07/16/2017,LTCUSD,38.3,41.79,35,40.53,116805.64,4431196.95
07/15/2017,LTCUSD,42.68,42.68,37.37,38.3,106296.61,4181709.08
07/14/2017,LTCUSD,45.46,45.85,40,42.68,48629.97,2051438.54
07/13/2017,LTCUSD,46.78,47.7,43.4,45.46,31662.27,1442520.71
